UPC,Product Name,POG Segment,Fixture,Position,FW,FH,C,SRP,New Flag,Delete Flag,Move Flag,Pusher,Tray,Magic Rec Stat,Prod Group,POG DBKey,Space Station Name,Space Station Version Description,Name,POG Status,POG Live Date,POG Pending Date
0008680087273,NEUTR BCH DFNS SPRY SPF30,1,3,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011254,NEUTR BCH DFES SPRAY,1,3,2,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011253,NTG BCH DFWTRSNPRTCSNLTNB,1,3,3,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680087275,NEUTR ULT SHR SPF50 STICK,1,3,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680087274,NEUTR BCH DFNS SPRY SPF70,1,3,5,1,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680007852,NEUTR BCH DEFNS SPF70 LTN,1,3,6,2,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680087272,NEUTR BCH DFNS LTN SPF70,1,3,7,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003520,CPRTN CMPLT SPR SPF50,1,4,1,2,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003205,CPRTN CMPLT LTN SPF50,1,4,2,1,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003925,CPRTN SPRT SUNSCN SPRAY,1,4,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003912,CPRTN SPORT C SPRAY SPF50,1,4,4,1,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214002747,CPRTN SPRT SNSCRN SPF50,1,4,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214002748,CPRTN SPRT SUNSCRN SPF70,1,4,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003825,COPPERTONE KIDS SPRAY SPF,1,4,7,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003926,CPRTN SNSCRN SPRY TWN PK,1,5,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003927,CPRTN SPRT 4N1 SPRY SPF30,1,5,2,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214002761,CPRTN SPRT 4N1 LTN SPF30,1,5,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214003826,CPRTN SPORT FACE SUNCRN,1,5,4,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214002765,CPRTN SPRT SPRY SPF 7,1,5,5,1,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007214002770,CPRTN SPRT SPRAY SPF100,1,5,6,1,1,0,,0,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680006407,NEUTR PRSRN MNRL INVS DLY,2,1,1,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011153,NEUTR DAILY DEF SERUM 60,2,1,2,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680006649,NEUTR INVISIBLE DLY SPRAY,2,1,3,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011151,NEUTR INVSBL DAILY 60,2,1,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010383,NEUTR INVS DLY DF SUNSCRN,2,1,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010357,NEUTR SUN RSC AS RHYD MST,2,1,6,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0087176000047,SUN BUM COOL DOWN LOTION,2,1,7,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548608754,HWTRP LIME COOLDA AFTRSN,2,1,8,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548609166,HT AFTER SUN BODY BUTTER,2,1,9,1,4,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965600008,BBOAT ALOE AFTRSN LTN,2,1,10,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965600114,BBOAT PURE ALOE VERA GEL,2,1,11,1,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548608989,HWTRP SPRT CSPRAY SPF30,2,2,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548609114,HWTRP SPT SPRAY SPF50,2,2,2,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548608747,HWTRP SHEER LTN SPF30,2,2,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548608760,HWTRP SHEER SUN SPF50 FL,2,2,4,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548613763,HWTRP HYDRATION WTLS MSTR,2,2,5,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007548609192,HWTRP SLKHYD WGHTLSS,2,2,6,2,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965614431,BBOAT SHR SENS SPF50 SPR,2,3,1,1,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007965614432,BBOAT SHR SENS SPF50 LTN,2,3,2,1,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
